"coachID";"year";"tmID";"coachWinRatio";"postCoachWinRatio"
"willifr99w";1;"UTA";0.5625;
"willifr99w";2;"UTA";0.38461538461538464;
"willigr99w";2;"DET";0.3125;
"willigr99w";3;"DET";0.0;
"wintebr01w";5;"IND";0.4411764705882353;
"wintebr01w";6;"IND";0.6176470588235294;0.5
"wintebr01w";7;"IND";0.6176470588235294;0.0
"wintebr01w";8;"IND";0.6176470588235294;0.5
"zierddo99w";8;"MIN";0.29411764705882354;
"zierddo99w";9;"MIN";0.47058823529411764;
