"year";"tmID";"rank";"playoff";"firstRound";"semis";"finals";"teams_score";"winRatio";"postWinRatio"
6;"LAS";4;"true";"false";"false";"false";2443.6999999999994;0.5178571428571429;0.0
7;"LAS";1;"true";"true";"false";"false";2734.9000000000005;0.7407407407407407;0.4
8;"LAS";7;"false";"false";"false";"false";2616.4;0.2857142857142857;
9;"LAS";3;"true";"true";"false";"false";2730.6;0.5925925925925926;0.5
10;"LAS";3;"true";"true";"false";"false";2799.1;0.5370370370370371;0.5
1;"MIA";6;"false";"false";"false";"false";1722.5;0.41509433962264153;
2;"MIA";3;"true";"false";"false";"false";2222.2999999999997;0.6415094339622641;0.3333333333333333
3;"MIA";6;"false";"false";"false";"false";2199.5;0.49056603773584906;
1;"MIN";6;"false";"false";"false";"false";2142.0;0.37735849056603776;
2;"MIN";6;"false";"false";"false";"false";1897.1;0.39622641509433965;
3;"MIN";8;"false";"false";"false";"false";1968.0;0.3018867924528302;
4;"MIN";4;"true";"false";"false";"false";2491.7;0.5517241379310345;0.3333333333333333
5;"MIN";3;"true";"false";"false";"false";2126.9;0.5357142857142857;0.0
6;"MIN";6;"false";"false";"false";"false";2288.1000000000004;0.4107142857142857;
7;"MIN";7;"false";"false";"false";"false";2510.1;0.2962962962962963;
8;"MIN";6;"false";"false";"false";"false";2767.9000000000005;0.32142857142857145;
9;"MIN";7;"false";"false";"false";"false";2845.0;0.4444444444444444;
10;"MIN";5;"false";"false";"false";"false";2786.1;0.3888888888888889;
1;"NYL";1;"true";"true";"true";"false";2231.2000000000003;0.6415094339622641;0.5714285714285714
2;"NYL";2;"true";"true";"false";"false";2360.7;0.6415094339622641;0.5
3;"NYL";1;"true";"true";"true";"false";2159.1000000000004;0.5471698113207547;0.5
4;"NYL";6;"false";"false";"false";"false";2433.7999999999997;0.46551724137931033;
5;"NYL";2;"true";"true";"false";"false";2350.0;0.5185185185185185;0.4
6;"NYL";3;"true";"false";"false";"false";2396.6;0.5;0.0
7;"NYL";5;"false";"false";"false";"false";2292.9000000000005;0.3333333333333333;
8;"NYL";4;"true";"false";"false";"false";2438.1000000000004;0.48148148148148145;0.3333333333333333
9;"NYL";3;"true";"true";"false";"false";2691.1000000000004;0.5555555555555556;0.5
10;"NYL";7;"false";"false";"false";"false";2626.0999999999995;0.39285714285714285;
1;"ORL";3;"true";"false";"false";"false";2376.3;0.5471698113207547;0.3333333333333333
2;"ORL";5;"false";"false";"false";"false";2264.2000000000003;0.41509433962264153;
3;"ORL";5;"false";"false";"false";"false";2346.5;0.5471698113207547;
1;"PHO";4;"true";"false";"false";"false";2310.5;0.5849056603773585;0.0
2;"PHO";5;"false";"false";"false";"false";2176.1;0.39622641509433965;
3;"PHO";7;"false";"false";"false";"false";2151.9;0.33962264150943394;
4;"PHO";7;"false";"false";"false";"false";2280.2;0.22413793103448276;
5;"PHO";5;"false";"false";"false";"false";2384.4;0.5;
6;"PHO";5;"false";"false";"false";"false";2440.3;0.5;
7;"PHO";5;"false";"false";"false";"false";3261.5;0.48148148148148145;
8;"PHO";1;"true";"true";"true";"true";3271.4;0.7142857142857143;0.7777777777777778
9;"PHO";6;"false";"false";"false";"false";3145.7;0.4444444444444444;
10;"PHO";1;"true";"true";"true";"true";3314.3999999999996;0.6666666666666666;0.6363636363636364
1;"POR";7;"false";"false";"false";"false";1965.6;0.2641509433962264;
2;"POR";7;"false";"false";"false";"false";2068.7;0.3018867924528302;
3;"POR";5;"false";"false";"false";"false";2302.4000000000005;0.4528301886792453;
1;"SAC";3;"true";"false";"false";"false";2698.4;0.6415094339622641;0.0
2;"SAC";2;"true";"true";"false";"false";2553.8;0.6226415094339622;0.6
3;"SAC";6;"false";"false";"false";"false";2205.6000000000004;0.41509433962264153;
4;"SAC";3;"true";"true";"false";"false";2536.8;0.5517241379310345;0.5
5;"SAC";4;"true";"true";"false";"false";2578.7;0.5357142857142857;0.5
6;"SAC";1;"true";"true";"true";"true";2418.6;0.75;0.875
7;"SAC";2;"true";"true";"true";"false";2662.2000000000003;0.5740740740740741;0.6666666666666666
8;"SAC";3;"true";"false";"false";"false";2652.5;0.5535714285714286;0.3333333333333333
9;"SAC";4;"true";"false";"false";"false";2475.0;0.5;0.3333333333333333
10;"SAC";6;"false";"false";"false";"false";2689.0000000000005;0.3333333333333333;
4;"SAS";6;"false";"false";"false";"false";2086.7000000000003;0.3793103448275862;
5;"SAS";7;"false";"false";"false";"false";2249.3;0.26785714285714285;
6;"SAS";7;"false";"false";"false";"false";1952.6999999999998;0.17857142857142858;
7;"SAS";6;"false";"false";"false";"false";2655.5;0.42592592592592593;
8;"SAS";2;"true";"true";"false";"false";2711.8;0.5892857142857143;0.4
9;"SAS";1;"true";"true";"true";"false";2645.3;0.6296296296296297;0.4444444444444444
10;"SAS";4;"true";"false";"false";"false";2786.0;0.46296296296296297;0.3333333333333333
1;"SEA";8;"false";"false";"false";"false";1688.2000000000003;0.18867924528301888;
2;"SEA";8;"false";"false";"false";"false";1979.3000000000002;0.3018867924528302;
3;"SEA";4;"true";"false";"false";"false";2458.8;0.5094339622641509;0.0
4;"SEA";5;"false";"false";"false";"false";2628.7;0.5;
5;"SEA";2;"true";"true";"true";"true";2617.2999999999997;0.5892857142857143;0.75
6;"SEA";2;"true";"false";"false";"false";2541.0;0.5892857142857143;0.3333333333333333
7;"SEA";4;"true";"false";"false";"false";2634.9;0.5185185185185185;0.3333333333333333
8;"SEA";4;"true";"false";"false";"false";2849.7;0.5;0.0
9;"SEA";2;"true";"false";"false";"false";2551.0;0.6481481481481481;0.3333333333333333
10;"SEA";2;"true";"false";"false";"false";2585.0999999999995;0.6111111111111112;0.3333333333333333
1;"UTA";5;"false";"false";"false";"false";2344.9;0.5849056603773585;
2;"UTA";3;"true";"false";"false";"false";2222.8999999999996;0.5660377358490566;0.0
3;"UTA";3;"true";"true";"false";"false";2330.1999999999994;0.6037735849056604;0.4
1;"WAS";4;"true";"false";"false";"false";2287.2999999999997;0.5094339622641509;0.0
2;"WAS";8;"false";"false";"false";"false";2091.2999999999997;0.2641509433962264;
3;"WAS";3;"true";"true";"false";"false";2365.0000000000005;0.5471698113207547;0.6
4;"WAS";7;"false";"false";"false";"false";2612.6;0.27586206896551724;
5;"WAS";4;"true";"false";"false";"false";2460.3999999999996;0.48148148148148145;0.3333333333333333
6;"WAS";5;"false";"false";"false";"false";2383.7000000000003;0.46296296296296297;
7;"WAS";4;"true";"false";"false";"false";2841.7999999999997;0.5555555555555556;0.0
8;"WAS";5;"false";"false";"false";"false";2444.4;0.4444444444444444;
9;"WAS";6;"false";"false";"false";"false";2237.4999999999995;0.2962962962962963;
10;"WAS";4;"true";"false";"false";"false";2485.1999999999994;0.4642857142857143;0.0
