"bioID";"pos";"college";"collegeOther";"birthDate";"deathDate";"bmi"
"beckki01w";"G";"George Washington";;1985-12-27 00:00:00;"0000-00-00";19.00410899653979
"bellje01w";"F";"Florida International";;1970-05-26 00:00:00;"0000-00-00";21.1071495590167
"bennije01w";"F";"Vanderbilt";;1981-10-06 00:00:00;"0000-00-00";23.120888888888892
"berggas01w";"G";"Illinois";;1976-11-18 00:00:00;"0000-00-00";24.389795918367348
"berrysh01w";"F-C";"Iowa";;1967-07-06 00:00:00;"0000-00-00";21.87111111111111
"berthlu01w";"F-C";"Old Dominion";;1978-03-31 00:00:00;"0000-00-00";24.135135135135133
"berubca01w";"F";"Connecticut";;1975-09-02 00:00:00;"0000-00-00";21.019483024691358
"beviltu01w";"G";;;1972-07-19 00:00:00;"0000-00-00";22.707730006683004
"bibbyje01w";"G";;;1979-08-23 00:00:00;"0000-00-00";21.768099799509915
"bibrzag01w";"G-F";;;1982-10-21 00:00:00;"0000-00-00";21.56756756756757
"birdsu01w";"G";"Connecticut";;1980-10-16 00:00:00;"0000-00-00";22.148708254568366
"bjedoni01w";"C";;;1971-05-18 00:00:00;"0000-00-00";22.53205128205128
"bjorkan01w";"F";"Tennessee";;1989-07-14 00:00:00;"0000-00-00";22.51118827160494
"bjorkte01w";"C";"Colorado";;1982-06-29 00:00:00;"0000-00-00";21.299342105263158
"blackch01w";"C";"Duke";;1985-11-12 00:00:00;"0000-00-00";22.29111148591668
"blackde01w";"G";"St. Joseph's";;1966-07-29 00:00:00;"0000-00-00";21.963214915595866
"bladerh01w";"G";"Vanderbilt";;1972-10-29 00:00:00;"0000-00-00";21.611494764981067
"blodgci01w";"G";"Maine";;1975-12-23 00:00:00;"0000-00-00";19.195547153959254
"blueni01w";"G";"UCLA";;1984-03-29 00:00:00;"0000-00-00";24.781358131487888
"blueoc01w";"F";"Miami (FL)";;1976-08-18 00:00:00;"0000-00-00";21.502908613248263
"bobbish01w";"G";"Tennessee";;1985-12-06 00:00:00;"0000-00-00";23.77471383975026
"boddiwh01w";"G";"Auburn";;1987-01-23 00:00:00;"0000-00-00";22.00105019953791
"boldeba01w";"G";"Louisiana Tech";;1969-06-16 00:00:00;"0000-00-00";23.10810810810811
"boltoru01w";"G";"Auburn";;1967-05-25 00:00:00;"0000-00-00";22.148708254568366
"bondla01w";"G";"Missouri";;1984-02-13 00:00:00;"0000-00-00";20.671864557807975
"bonfisu01w";"G";;;1974-09-08 00:00:00;"0000-00-00";22.044766435986162
"bonnede01w";"G";"Auburn";;1987-08-21 00:00:00;"0000-00-00";16.55263157894737
"bookeka01w";"C";"Vanderbilt";;1965-04-10 00:00:00;"0000-00-00";22.426346406455245
"bosweca01w";"F-G";"Illinois State";;1962-11-10 00:00:00;"0000-00-00";22.782407407407405
"bouceje01w";"G";"Virginia";;1973-12-20 00:00:00;"0000-00-00";19.764273356401386
"bouchke01w";"F";;;1968-01-13 00:00:00;"0000-00-00";20.925675675675677
"bowenli01w";"G";"Michigan State";;1983-10-25 00:00:00;"0000-00-00";22.707730006683004
"boydca01w";"F";;;1975-10-31 00:00:00;"0000-00-00";22.690185775942954
"bradlki01w";"F-C";"Oral Roberts";;1974-08-26 00:00:00;"0000-00-00";21.935402260077584
"branzal01w";"F";"Florida International";;1971-07-17 00:00:00;"0000-00-00";21.907894736842106
"branzge01w";"F";"Florida International";;1976-07-25 00:00:00;"0000-00-00";21.299342105263158
"braxtja01w";"F-C";"Louisiana Tech";;1973-10-06 00:00:00;"0000-00-00";22.246044444444447
"braxtka01w";"F-C";"Georgia";;1983-02-18 00:00:00;"0000-00-00";24.26528599605523
"brazian01w";"F";"Texas Tech";;1976-09-18 00:00:00;"0000-00-00";21.695945945945947
"brcanra01w";"C";"none";;1967-04-15 00:00:00;"0000-00-00";21.7490625
"brelaje01w";"F";"North Carolina";;1988-02-23 00:00:00;"0000-00-00";21.246222222222222
"bristre01w";"G";"Arizona";;1978-02-10 00:00:00;"0000-00-00";19.942244897959185
"brogami01w";"F";;;1973-02-08 00:00:00;"0000-00-00";23.349784199662224
"brondsa01w";"G";"U. Western Sydney";;1968-08-20 00:00:00;"0000-00-00";21.298284695923368
"brownci01w";"F-C";"Long Beach State";;1965-03-16 00:00:00;"0000-00-00";23.493243243243242
"brownco01w";"G";"North Carolina";;1980-10-21 00:00:00;"0000-00-00";22.148708254568366
"browned01w";"G-F";"Texas";;1978-07-01 00:00:00;"0000-00-00";24.068262969964294
"brownki01w";"G";"Georgia";;1979-01-13 00:00:00;"0000-00-00";19.22489795918367
"brownla01w";"C";"Louisiana Tech";;1972-12-01 00:00:00;"0000-00-00";22.496000000000002
"brownle01w";"F";"Virginia";;1977-06-03 00:00:00;"0000-00-00";22.51118827160494
"brownru01w";"F";"Furman";;1972-05-05 00:00:00;"0000-00-00";22.466216216216218
"brumfma01w";"G";"Rice";;1978-06-06 00:00:00;"0000-00-00";20.22037197231834
"brungje01w";"F";"Penn State";;1982-04-16 00:00:00;"0000-00-00";21.76674798273597
"brunsre01w";"F";"Georgetown";;1981-12-11 00:00:00;"0000-00-00";21.87111111111111
"bullevi01w";"F";"Maryland";;1967-10-04 00:00:00;"0000-00-00";23.120888888888892
"burgean01w";"G";;;1969-04-10 00:00:00;"0000-00-00";22.081309868567608
"burgehe01w";"C";"Virginia";;1971-11-11 00:00:00;"0000-00-00";23.12109967954124
"burgehe02w";"F";"Virginia";;1971-11-11 00:00:00;"0000-00-00";21.34255355034576
"burgeli01w";"F";"Alabama";;1969-07-27 00:00:00;"0000-00-00";22.82210546068681
"burraal01w";"C";"Louisiana Tech";;1975-06-23 00:00:00;"0000-00-00";27.245155555555556
"burseja01w";"C";"Tulane";;1979-05-19 00:00:00;"0000-00-00";23.595378647326697
"buttsta01w";"G";"Tennessee";;1982-03-10 00:00:00;"0000-00-00";22.313033128347552
"byearla01w";"G-F";"DePaul";"NE Oklahoma A&M (JC)";1973-08-12 00:00:00;"0000-00-00";28.728030152747472
"byrdla01w";"G";"Eastern Michigan";;1960-02-01 00:00:00;"0000-00-00";21.141643709825527
"cabezli01w";"F-C";"Central Florida CC";;1973-10-25 00:00:00;"0000-00-00";22.246044444444447
"cainke01w";"C";"Tennessee";;1989-05-16 00:00:00;"0000-00-00";25.42077580539119
"camba01w";"C";"none";;1991-08-18 00:00:00;"0000-00-00";23.61640625
"campbed01w";"G";"Texas";;1968-11-26 00:00:00;"0000-00-00";23.108996539792386
"campbmi01w";"F-C";"USC";;1974-02-20 00:00:00;"0000-00-00";20.156856130882105
"cantydo01w";"G-F";"Alabama";;1977-03-02 00:00:00;"0000-00-00";23.920604914933836
"careyja01w";"G";"Texas";;1981-03-12 00:00:00;"0000-00-00";21.787190082644628
"carsoes01w";"G-F";"Rutgers";;1986-07-28 00:00:00;"0000-00-00";22.375578703703706
"carteam01w";"F";"Louisiana State";;1982-06-21 00:00:00;"0000-00-00";23.75
"cartede01w";"G-F";"Georgia";;1972-01-03 00:00:00;"0000-00-00";25.087770061728396
"cashsw01w";"F";"Connecticut";;1979-09-22 00:00:00;"0000-00-00";21.37098892850441
"cassija01w";"C";"Maine";;1978-09-12 00:00:00;"0000-00-00";23.370844444444444
"castriz01w";"F-G";;;1982-03-13 00:00:00;"0000-00-00";18.98533950617284
"catchta01w";"F";"Tennessee";;1979-07-21 00:00:00;"0000-00-00";22.030587352223684
"caufila01w";"G";"Oklahoma";;1980-05-25 00:00:00;"0000-00-00";23.477630749842472
"cebriel01w";"C";"none";;1971-02-07 00:00:00;"0000-00-00";22.52825096980941
"chacoke01w";"G";"George Mason";;1974-12-21 00:00:00;"0000-00-00";22.296366309598824
"chambco01w";"G";"Georgia";;1985-07-06 00:00:00;"0000-00-00";23.625288804872927
"chanequ01w";"G";"Louisiana State";;1986-04-14 00:00:00;"0000-00-00";22.313033128347552
"chapmji01w";"C";"Indiana";;1979-11-04 00:00:00;"0000-00-00";25.745422222222224
"charlda01w";"F-C";"Tennessee";;1968-11-22 00:00:00;"0000-00-00";17.621866666666666
"charlti01w";"C";"Connecticut";;1988-12-05 00:00:00;"0000-00-00";24.098684210526315
"chaseso01w";"G";"Maryland";;1976-03-09 00:00:00;"0000-00-00";22.148708254568366
"cheekjo01w";"F";"Duke";;1988-06-25 00:00:00;"0000-00-00";26.51585663351473
"cheruam01w";"G";"Indiana";;1970-04-18 00:00:00;"0000-00-00";20.085714285714285
"chestfe01w";"F";"DePaul";;1988-03-24 00:00:00;"0000-00-00";22.496000000000002
"choneka01w";"C";"North Carolina State";;1981-01-11 00:00:00;"0000-00-00";22.496000000000002
"chriska01w";"F";"UC Santa Barbara";;1980-11-16 00:00:00;"0000-00-00";21.9527027027027
"chriska02w";"F";"Duke";;1989-09-11 00:00:00;"0000-00-00";24.409722222222225
"chrissh01w";"F";"Arkansas";;1982-02-15 00:00:00;"0000-00-00";22.426346406455245
"cironkr01w";"G";"Illinois State";;1987-05-19 00:00:00;"0000-00-00";22.80493079584775
"clarkal01w";"F";"Middle Tennessee State";;1987-07-07 00:00:00;"0000-00-00";23.95938775510204
"clearmi01w";"G";"Australian Institute of Sport";;1974-07-16 00:00:00;"0000-00-00";20.334710743801654
"clinest01w";"G";"UC Santa Barbara";;1978-04-22 00:00:00;"0000-00-00";24.62579881656805
"coggicl01w";"G";"Kansas State";;1985-05-19 00:00:00;"0000-00-00";23.70759769886927
"cokermo01w";"F";"Old Dominion";;1982-11-28 00:00:00;"0000-00-00";23.74554325389379
"colemco01w";"F";"Ohio State";;1981-04-13 00:00:00;"0000-00-00";23.053626543209877
"colemma01w";"G-F";"Maryland";;1987-01-04 00:00:00;"0000-00-00";21.1071495590167
"colleka01w";"G-F";"Maryland";;1971-03-17 00:00:00;"0000-00-00";20.803061224489795
"colsosy01w";"G";"Texas A&M";;1989-08-06 00:00:00;"0000-00-00";21.284602076124568
"compame01w";"G";"St. Joseph's";;1975-09-18 00:00:00;"0000-00-00";21.115101869355176
"congran01w";"F-C";"Mercer";;1970-06-03 00:00:00;"0000-00-00";23.493243243243242
"conklab01w";"F";"Tennessee";;1975-02-10 00:00:00;"0000-00-00";21.87111111111111
"consuca01w";"G";"Iowa";;1979-03-04 00:00:00;"0000-00-00";21.892733564013838
"coopeca01w";"C";"Purdue";;1979-02-05 00:00:00;"0000-00-00";21.42105263157895
"coopecy01w";"G";"USC";;1963-04-14 00:00:00;"0000-00-00";21.520408163265305
"crawlsy01w";"F-C";"North Carolina";;1972-09-27 00:00:00;"0000-00-00";22.172541743970317
"crockda01w";"F";"Baylor";;1981-02-11 00:00:00;"0000-00-00";20.843310189528992
"crockwi01w";"F";"Connecticut";;1984-07-05 00:00:00;"0000-00-00";27.60135135135135
"cronika01w";"G";"Colorado State";;1977-09-08 00:00:00;"0000-00-00";21.019483024691358
"crosssh01w";"G";"Tennessee";;1983-09-07 00:00:00;"0000-00-00";22.237755102040815
"crumpca01w";"G";"Alabama";;1962-10-29 00:00:00;"0000-00-00";22.66816326530612
"cummiki01w";"F";"Long Beach State";;1963-08-29 00:00:00;"0000-00-00";23.495822222222223
"cunnibe01w";"G";"Notre Dame";;1975-06-05 00:00:00;"0000-00-00";22.104359567901234
"cunnida01w";"F";"Rutgers";;1980-01-27 00:00:00;"0000-00-00";25.358989197530864
"currimo01w";"F";"Duke";;1983-02-25 00:00:00;"0000-00-00";24.00289351851852
"curryed01w";"G";"Oregon";;1979-07-09 00:00:00;"0000-00-00";23.68505859375
"dalesst01w";"G-F";"Oklahoma";;1979-09-05 00:00:00;"0000-00-00";21.019483024691358
"daleygr01w";"G";"Tulane";;1978-06-26 00:00:00;"0000-00-00";23.72382920110193
"darlihe01w";"G";"Penn State";;1978-08-29 00:00:00;"0000-00-00";26.467401285583104
"davenje01w";"C";"Ohio State";;1985-06-24 00:00:00;"0000-00-00";25.492494518468543
"davisbr01w";"G";"Oregon";;1983-01-01 00:00:00;"0000-00-00";23.32484567901235
"daviscl01w";"F";"Texas";;1967-06-04 00:00:00;"0000-00-00";21.76674798273597
"davisde01w";"G";"Vanderbilt";;1984-11-08 00:00:00;"0000-00-00";21.611494764981067
"davisla01w";"G";"Tennessee";;1974-10-08 00:00:00;"0000-00-00";22.707730006683004
"davista01w";"F";"Washington";;1972-09-25 00:00:00;"0000-00-00";22.955102040816328
"dedenka01w";"F";"Washington";;1969-09-23 00:00:00;"0000-00-00";20.69078947368421
"deforan01w";"G";"Nebraska";;1976-04-14 00:00:00;"0000-00-00";22.955102040816328
"derevje01w";"G";"George Mason";;1982-03-29 00:00:00;"0000-00-00";20.085714285714285
"desouer01w";"F-C";;;1982-03-03 00:00:00;"0000-00-00";22.52825096980941
"dickeke01w";"F";"Texas Tech";;1978-04-20 00:00:00;"0000-00-00";23.01031541360841
"dillata01w";"G";"Texas";;1981-05-06 00:00:00;"0000-00-00";22.73934047469019
"dixonta01w";"G";"Kansas";;1975-12-14 00:00:00;"0000-00-00";21.853392144507456
"doagela01w";"G";"Nebraska";;1975-05-15 00:00:00;"0000-00-00";22.10996326905418
"domonna01w";"G";"Iowa";;1975-09-28 00:00:00;"0000-00-00";18.93795918367347
"donapbe01w";"F-C";"Stanford";;1980-08-27 00:00:00;"0000-00-00";25.033783783783786
"doronsh01w";"G";"Maryland";;1985-04-01 00:00:00;"0000-00-00";21.41041797941609
"dossaci01w";"C";;;1975-01-31 00:00:00;"0000-00-00";22.172541743970317
"douglka01w";"G-F";"Purdue";;1979-05-07 00:00:00;"0000-00-00";22.64679783950617
"duffyme01w";"G";"Notre Dame";;1984-07-13 00:00:00;"0000-00-00";21.14167966139452
"dunlavi01w";"F";"Kentucky";;1989-09-19 00:00:00;"0000-00-00";21.1071495590167
"dupreca01w";"F";"Temple";;1984-08-16 00:00:00;"0000-00-00";20.7972972972973
"dydekka01w";"F-C";"Evangel";;1970-03-21 00:00:00;"0000-00-00";21.402018907226406
"edwarmi01w";"G";"Rutgers";;1966-03-06 00:00:00;"0000-00-00";22.148708254568366
"edwarsi01w";"C";"Iowa";;1973-11-17 00:00:00;"0000-00-00";19.960526315789473
"edwarte01w";"G-F";"Georgia";;1964-07-09 00:00:00;"0000-00-00";21.61575084308669
"edwarto01w";"G";"Tennessee";;1968-03-13 00:00:00;"0000-00-00";22.955102040816328
"elysh01w";"F";"Tennessee";;1983-08-09 00:00:00;"0000-00-00";23.364864864864867
"enissh01w";"F-C";"Alabama";;1974-12-03 00:00:00;"0000-00-00";24.405141677613063
"erbsu01w";"C";"North Carolina State";;1977-07-25 00:00:00;"0000-00-00";27.731755424063117
"ervinla01w";"F";"Arkansas";;1985-03-24 00:00:00;"0000-00-00";20.8125
"evansde01w";"G";"Virginia";;1970-10-11 00:00:00;"0000-00-00";21.453857421875
"fallotr01w";"G-F";;;1972-07-23 00:00:00;"0000-00-00";20.621333333333332
"farriba01w";"C-F";"Tulane";;1976-09-10 00:00:00;"0000-00-00";24.995555555555555
"feastal01w";"F";"Harvard";;1976-02-11 00:00:00;"0000-00-00";23.42868478476493
"feifesu01w";"G";;;1979-01-29 00:00:00;"0000-00-00";21.37098892850441
"ferdima01w";"G";"Louisiana State";;1978-10-13 00:00:00;"0000-00-00";22.591682419659737
"fernama01w";"G";;;1981-12-21 00:00:00;"0000-00-00";19.244991073199763
"ferrama01w";"F";;;1972-02-11 00:00:00;"0000-00-00";23.745777777777775
"figgsuk01w";"G";"Purdue";;1977-03-31 00:00:00;"0000-00-00";20.96744381432472
"fijalis01w";"C";"Colorado";;1972-05-23 00:00:00;"0000-00-00";23.713948389273064
"firsool01w";"C";"Kansas State";;1976-04-23 00:00:00;"0000-00-00";24.843030900723207
"floremi01w";"G";"Stanford";;1977-10-19 00:00:00;"0000-00-00";20.173324150596876
"flukety01w";"C";"Tennessee";;1984-12-27 00:00:00;"0000-00-00";24.78107606679035
"folklkr01w";"F";"Stanford";;1975-12-19 00:00:00;"0000-00-00";24.39189189189189
"fordch01w";"F";"Louisiana Tech";;1981-06-06 00:00:00;"0000-00-00";24.745600000000003
"fordki01w";"G-F";"Georgia Tech";;1975-04-04 00:00:00;"0000-00-00";21.950816326530614
"fordst01w";"F";"Georgia";;1969-01-14 00:00:00;"0000-00-00";23.75
"fosteto01w";"F";"Iowa";;1971-10-16 00:00:00;"0000-00-00";23.08594483017452
"fowlesy01w";"C";"Louisiana State";;1985-10-06 00:00:00;"0000-00-00";23.10979618671926
"francde01w";"F";"Iowa State";;1975-08-24 00:00:00;"0000-00-00";27.689591836734696
"frankaq01w";"G";"Texas A&M";;1985-09-29 00:00:00;"0000-00-00";26.43115234375
"frazeme01w";"F";"Liberty";;1987-03-29 00:00:00;"0000-00-00";23.870755555555558
"freemla01w";"F";"Auburn";;1971-03-17 00:00:00;"0000-00-00";23.08594483017452
"fresest01w";"G";"Iowa State";;1976-09-23 00:00:00;"0000-00-00";19.156141868512112
"frettla01w";"F";"Georgia";;1975-06-12 00:00:00;"0000-00-00";21.246222222222222
"friertr01w";"F";"Louisiana Tech";;1979-08-23 00:00:00;"0000-00-00";23.87837837837838
"frohlli01w";"F-C";;;1979-06-23 00:00:00;"0000-00-00";23.120888888888892
"frostsh01w";"C";"Tennessee";;1966-12-19 00:00:00;"0000-00-00";22.394736842105264
"futreca01w";"G";"Duquesne";;1982-07-10 00:00:00;"0000-00-00";22.094285714285714
"gaithka01w";"C";"Notre Dame";;1975-08-13 00:00:00;"0000-00-00";21.246222222222222
"gamblam01w";"F";"Arizona";;1964-12-17 00:00:00;"0000-00-00";23.385510204081633
"ganttr01w";"C";"Lamar";;1971-10-10 00:00:00;"0000-00-00";23.236486486486488
"garcibe01w";"G";;;1976-09-03 00:00:00;"0000-00-00";22.46272189349112
"gardike01w";"F";"Virginia Tech";;1984-05-19 00:00:00;"0000-00-00";22.16250703696754
"gardnan01w";"F-C";"Howard";;1979-12-23 00:00:00;"0000-00-00";23.745777777777775
"garnean01w";"F-C";"Penn State";;1979-01-05 00:00:00;"0000-00-00";19.996444444444446
"gaydeco01w";"G";"Louisiana State";;1971-05-11 00:00:00;"0000-00-00";22.148708254568366
"gaypi01w";"G-F";"Louisiana State";;1974-08-21 00:00:00;"0000-00-00";25.52053164054751
"gearlka01w";"G-F";"Purdue";;1984-10-26 00:00:00;"0000-00-00";24.273221992869207
"gessiki01w";"F";"USC";;1970-12-29 00:00:00;"0000-00-00";21.87111111111111
"gibsoke01w";"F-G";"Maryland";;1976-11-10 00:00:00;"0000-00-00";19.511836734693876
"gilloje01w";"F-C";"Mississippi";;1964-06-13 00:00:00;"0000-00-00";22.496000000000002
"gilmous01w";"G";"Rutgers";;1978-08-24 00:00:00;"0000-00-00";22.034120214243206
"gisseka01w";"F";"Penn State";"North Carolina State";1985-07-27 00:00:00;"0000-00-00";23.48170388440608
"godbyli01w";"F-C";"Auburn";;1968-10-17 00:00:00;"0000-00-00";18.834483892176202
"gomisem01w";"G";;;1983-10-18 00:00:00;"0000-00-00";18.687165244991075
"goodemo01w";"G";"Stanford";;1972-02-08 00:00:00;"0000-00-00";20.980257116620752
"goodeti01w";"F";"Iowa";;1975-10-23 00:00:00;"0000-00-00";23.01031541360841
"goodlsa01w";"C";"Georgia Tech";;1990-08-09 00:00:00;"0000-00-00";28.33816832518131
"goodsad01w";"F";"Old Dominion";;1966-10-19 00:00:00;"0000-00-00";22.375578703703706
"gordobr01w";"F";"Tennessee";;1967-04-27 00:00:00;"0000-00-00";21.561921296296298
"goringi01w";"C";"North Carolina State (jr-sr)";"Arkansas-Fort Smith (fr-so)";1983-06-07 00:00:00;"0000-00-00";25.34449607434706
"gortmsh01w";"G";"South Carolina";;1979-12-07 00:00:00;"0000-00-00";22.66816326530612
"grahama01w";"C";"Houston";;1970-12-18 00:00:00;"0000-00-00";29.994666666666667
"granter01w";"G";"Texas Tech";;1984-06-13 00:00:00;"0000-00-00";19.00410899653979
"gravede01w";"C";"Howard";;1975-09-16 00:00:00;"0000-00-00";25.13678529262945
"graylal01w";"G";"California";;1987-04-21 00:00:00;"0000-00-00";26.757785467128027
"grecomi01w";"G";"UCLA";;1980-03-24 00:00:00;"0000-00-00";21.41041797941609
"greenci01w";"C";"Texas Tech";;1983-04-04 00:00:00;"0000-00-00";21.698262776184855
"greenka01w";"G";"Connecticut";;1987-07-13 00:00:00;"0000-00-00";24.389795918367348
"grginve01w";"F";;;1975-01-13 00:00:00;"0000-00-00";21.1071495590167
"griffke01w";"F";"Nebraska";;1987-07-02 00:00:00;"0000-00-00";22.97972972972973
"griffyo01w";"C-F";"Florida Atlantic";;1970-03-01 00:00:00;"0000-00-00";23.495822222222223
"groomla01w";"G-F";"Georgia";;1970-09-12 00:00:00;"0000-00-00";22.955102040816328
"grubigo01w";"G";;;1972-08-20 00:00:00;"0000-00-00";23.01031541360841
"grudasa01w";"F-C";;;1987-06-25 00:00:00;"0000-00-00";22.51644736842105
"guytowa01w";"F";"South Florida";;1965-10-14 00:00:00;"0000-00-00";23.48170388440608
"hagiwmi01w";"G";;;1970-04-27 00:00:00;"0000-00-00";22.452489585399725
"hairska01w";"F";"Temple";;1985-08-18 00:00:00;"0000-00-00";20.341435185185187
"hallam01w";"F";"Washington";;1977-12-29 00:00:00;"0000-00-00";22.496000000000002
"hallvi01w";"F";"Texas";;1969-10-03 00:00:00;"0000-00-00";23.74554325389379
"hamblan01w";"G";"Iowa";;1976-09-30 00:00:00;"0000-00-00";24.389795918367348
"hammobe01w";"G";"Colorado State";;1977-03-11 00:00:00;"0000-00-00";21.948576675849402
"hamptky01w";"F";"Arizona State";;1962-11-03 00:00:00;"0000-00-00";26.95945945945946
"hamzoro01w";"G";;;1970-08-17 00:00:00;"0000-00-00";22.44402436462928
"hardili01w";"G";"Duke";;1984-06-12 00:00:00;"0000-00-00";21.132569204152247
"hardish01w";"G";"Louisiana Tech";;1969-06-27 00:00:00;"0000-00-00";24.363579080025207
"harpela01w";"F-C";"Maryland";;1986-04-11 00:00:00;"0000-00-00";22.52825096980941
"harriam01w";"F";"Xavier";;1988-01-16 00:00:00;"0000-00-00";23.951087873165797
"harrido01w";"F";"Old Dominion";;1966-09-29 00:00:00;"0000-00-00";23.745777777777775
"harrifr01w";"G";"Texas";;1965-03-12 00:00:00;"0000-00-00";20.883873456790123
"harrili01w";"F";"Tennessee";;1971-01-02 00:00:00;"0000-00-00";21.63482829799212
"harrokr01w";"G";;;1975-03-04 00:00:00;"0000-00-00";23.856689453125
"haydeva01w";"C";"Florida";;1982-06-05 00:00:00;"0000-00-00";29.210526315789473
"haynikr01w";"G";"Michigan State";;1983-06-17 00:00:00;"0000-00-00";21.705734089477
"headde01w";"G";"Tennessee";;1970-08-16 00:00:00;"0000-00-00";22.955102040816328
"hedgpch01w";"G";"Stanford";;1972-02-17 00:00:00;"0000-00-00";21.115101869355176
"hendene01w";"G";"Texas";;1973-02-28 00:00:00;"0000-00-00";21.892733564013838
"hendetr01w";"C";"Georgia";;1974-12-31 00:00:00;"0000-00-00";24.995555555555555
"henniso01w";"G";"Stanford";;1969-10-04 00:00:00;"0000-00-00";22.394519937625308
"henryan01w";"F";"Florida";;1986-02-13 00:00:00;"0000-00-00";25.620444444444445
"herriam01w";"C";"Iowa";;1977-06-06 00:00:00;"0000-00-00";23.00328947368421
"hibbeka01w";"G-F";"Louisiana State";;1977-09-29 00:00:00;"0000-00-00";20.085714285714285
